,21-Apr-2020
The Nifty witnessed an intraday movement of about 135 points.The closing index was 3.03 % down as compared to the previous closing index.

, Traded Value (Rs. In Crores), 46977.52
, Traded Quantity (in Lakhs), 22285.3
, Number of Trades, 19066680
, Total Market Capitalisation (Rs. Crores), 11891972.91

,INDEX,PREVIOUS CLOSE,OPEN,HIGH,LOW,CLOSE,GAIN/LOSS
,AJOONI,SM,         7.10,                    57400.00,8000
,AKSHARCHEM,EQ,       187.65,                   552541.20,2923
,AKSHOPTFBR,EQ,         4.85,                   249915.65,51529
,AKZOINDIA,EQ,      1995.30,                153777255.60,75310
,ALANKIT,EQ,        15.05,                  1301344.95,85502
,ALBERTDAVD,EQ,       391.45,                  5802365.20,14795
,ALCHEM,BE,         1.75,                   179798.20,102787
,ALEMBICLTD,EQ,        45.70,                  9655407.25,208981
,ALICON,EQ,       228.50,                  1930178.55,8457
,ALKALI,EQ,        36.90,                   394609.95,10797
,ALKEM,EQ,      2581.70,                422835023.05,162343
,ALKYLAMINE,EQ,      1456.25,                 50388400.25,34105
,ALLCARGO,EQ,        72.85,                  3322327.80,45532
,ALLSEC,EQ,       152.85,                   269632.75,1763
,ALMONDZ,EQ,        12.85,                    18330.20,1432
,ALOKINDS,EQ,         6.40,                  5266406.40,822876
,ALPA,EQ,        21.50,                   312975.50,14557
,ALPHAGEO,EQ,       183.70,                 84924141.35,431523
,ALPSINDUS,BE,          .85,                    46194.00,52937
,AMARAJABAT,EQ,       509.25,                429923126.75,843490
,AMBER,EQ,      1090.35,                 55675513.30,51247
,AMBIKCO,EQ,       667.85,                  2467131.80,3695
,AMDIND,EQ,        13.05,                   178950.35,13551
,AMJLAND,EQ,        16.45,                    48377.05,2977
,AMJUMBO,SM,         6.05,                    96800.00,16000
,AMRUTANJAN,EQ,       386.35,                110659049.55,278663
,ANANTRAJ,EQ,        18.30,                  2117870.40,116634
,ANDHRACEMT,EQ,         4.25,                  1554144.25,365681
,ANDHRAPAP,EQ,       189.00,                  2958319.65,15269
