,31-Mar-2020
The Nifty witnessed an intraday movement of about 320.3 points.The closing index was 3.82 % up as compared to the previous closing index.

, Traded Value (Rs. In Crores), 39637.65
, Traded Quantity (in Lakhs), 19589.47
, Number of Trades, 18175533
, Total Market Capitalisation (Rs. Crores), 11243111.77

,INDEX,PREVIOUS CLOSE,OPEN,HIGH,LOW,CLOSE,GAIN/LOSS
,ALEMBICLTD,EQ,        35.35,                  2114578.40,58953
,ALICON,EQ,       176.10,                   682679.45,3813
,ALKALI,EQ,        25.10,                   107340.95,4286
,ALKEM,EQ,      2325.85,                374035934.85,161297
,ALKYLAMINE,EQ,      1203.30,                 16486085.25,13705
,ALLCARGO,EQ,        58.45,                 17894828.05,300600
,ALLSEC,EQ,       115.50,                   311237.65,2745
,ALOKINDS,EQ,         3.95,                  4248580.50,1075590
,ALPA,EQ,        13.85,                   276076.55,19700
,ALPHAGEO,EQ,       124.85,                  2327450.45,18825
,ALPSINDUS,EQ,          .75,                    28761.35,36205
,AMARAJABAT,EQ,       478.05,                754114396.50,1571818
,AMBER,EQ,      1230.45,                 64692050.55,52073
,AMBIKCO,EQ,       527.95,                  3164361.95,5951
,AMDIND,EQ,        10.55,                    75009.05,7517
,AMJLAND,EQ,        14.50,                    26510.35,1832
,AMJUMBO,SM,         7.35,                    58800.00,8000
,AMRUTANJAN,EQ,       329.95,                 25106662.75,76475
,ANANTRAJ,EQ,        19.80,                  2561473.00,129936
,ANDHRACEMT,EQ,         1.60,                    72947.30,46019
,ANDHRAPAP,EQ,       141.60,                  1468539.60,10153
,ANDHRSUGAR,EQ,       177.05,                  3085054.30,17505
,ANIKINDS,EQ,         6.55,                    21253.05,3240
,ANKITMETAL,EQ,          .40,                    49131.45,139072
,ANSALAPI,EQ,         3.55,                   209116.15,59596
,ANSALHSG,EQ,         2.80,                    42497.95,15621
,ANUP,EQ,       325.95,                  3961635.35,12523
,APARINDS,EQ,       288.20,                  4773924.65,17404
,APCL,EQ,        94.35,                   222391.70,2361
,APCOTEXIND,EQ,        77.35,                   969665.50,12626
,APEX,EQ,       168.55,                 13583347.40,80599
,APLAPOLLO,EQ,      1246.65,                 32695513.05,26648
,APLLTD,EQ,       534.25,                 39608476.45,74421
,APOLLO,EQ,        45.15,                   916742.25,20363
,APOLLOHOSP,EQ,      1139.05,               2083335604.80,1882578
,APOLLOPIPE,EQ,       244.85,                 25522575.00,105489
,APOLLOTYRE,EQ,        79.40,                446029199.65,5591430
,APOLSINHOT,EQ,       392.00,                    70167.10,180
,APTECHT,EQ,        83.50,                 28180054.70,337791
