,13-May-2020
The Nifty witnessed an intraday movement of about 233.4 points.The closing index was 2.03 % up as compared to the previous closing index.

, Traded Value (Rs. In Crores), 57532.9
, Traded Quantity (in Lakhs), 31798.62
, Number of Trades, 20242248
, Total Market Capitalisation (Rs. Crores), 12268543.71

,INDEX,PREVIOUS CLOSE,OPEN,HIGH,LOW,CLOSE,GAIN/LOSS
,AKSHOPTFBR,EQ,         4.75,                   775923.55,164237
,AKZOINDIA,EQ,      1858.15,                 13429940.85,7231
,ALANKIT,EQ,        16.75,                  1600526.20,95022
,ALBERTDAVD,EQ,       453.25,                  5230963.35,11427
,ALCHEM,BE,         3.00,                     9615.00,3205
,ALEMBICLTD,EQ,        48.00,                  4610414.45,95506
,ALICON,EQ,       226.70,                   470090.45,2095
,ALKALI,EQ,        41.30,                   570067.25,13753
,ALKEM,EQ,      2487.05,                630788969.15,247466
,ALKYLAMINE,EQ,      1762.25,                 34229035.95,19256
,ALLCARGO,EQ,        69.50,                  6361139.90,92060
,ALLSEC,EQ,       167.90,                    53786.05,320
,ALMONDZ,EQ,        11.05,                    10861.25,1002
,ALOKINDS,EQ,        10.50,                  6771009.00,644858
,ALPA,EQ,        18.70,                   658472.70,35507
,ALPHAGEO,EQ,       156.90,                  2714689.70,17314
,ALPSINDUS,BE,          .85,                    12845.40,16420
,AMARAJABAT,EQ,       568.90,                895666492.45,1570468
,AMBER,EQ,      1114.70,                119209860.70,105502
,AMBIKCO,EQ,       671.25,                  2794790.45,4107
,AMDIND,EQ,        12.00,                    82433.85,6755
,AMJLAND,EQ,        14.60,                    24886.10,1692
,AMRUTANJAN,EQ,       341.25,                 15564420.40,45361
,ANANTRAJ,EQ,        15.00,                  5022892.85,333788
,ANDHRACEMT,BE,         3.05,                   284696.15,93343
,ANDHRAPAP,EQ,       173.95,                   723179.75,4099
,ANDHRSUGAR,EQ,       211.55,                 13203413.40,61309
,ANIKINDS,BE,         9.30,                    90394.00,9573
,ANKITMETAL,EQ,          .40,                     5135.80,14602
,ANSALAPI,BE,         5.40,                   185792.05,34194
,ANSALHSG,EQ,         3.25,                   118270.60,36887
,ANUP,EQ,       277.30,                  2376914.85,8545
,APARINDS,EQ,       303.40,                 11651431.00,39263
,APCL,EQ,       109.10,                   196860.60,1817
,APCOTEXIND,EQ,       101.30,                  3463115.25,34754
,APEX,EQ,       190.10,                 63195329.25,331777
,APLAPOLLO,EQ,      1247.05,                 60138884.50,48036
,APLLTD,EQ,       799.95,                170865459.35,211613
,APOLLO,EQ,        71.30,                  3640643.80,50556
,APOLLOHOSP,EQ,      1284.55,               1930144340.85,1508002
,APOLLOPIPE,EQ,       319.00,                 20498643.15,63254
,APOLLOTYRE,EQ,        94.40,                724316245.00,7703437
,APOLSINHOT,EQ,       420.10,                    16743.15,40
,APTECHT,EQ,       101.55,                  9594713.40,93519
,ARCHIDPLY,EQ,        18.95,                   541743.65,28739
,ARCHIES,BE,        11.10,                   295052.55,26099
,ARCOTECH,BE,         2.00,                    32022.00,16011
,ARENTERP,EQ,         9.65,                      378.00,40
,ARIES,EQ,        55.95,                  1966925.45,35313
,ARIHANT,EQ,        14.50,                    65658.80,4489
,ARIHANTSUP,EQ,        18.45,                    44060.85,2364
,ARMANFIN,EQ,       344.35,                  9434591.55,27699
,AROGRANITE,EQ,        23.05,                    96095.55,4132
,ARROWGREEN,BE,        33.95,                    50257.80,1526
,ARSHIYA,BE,        10.85,                   141984.40,12808
,ARSSINFRA,BE,        11.85,                   119476.50,9991
,ARTEMISMED,EQ,       151.30,                   205165.00,1337
,ARVIND,EQ,        24.00,                194038221.20,8543883
,ARVINDFASN,EQ,       133.10,                  3514899.60,26276
,ARVSMART,EQ,        65.70,                  2334733.90,36133
,ASAHIINDIA,EQ,       154.05,                  1848749.45,11913
,ASAHISONG,EQ,       104.20,                   711405.10,6933
,ASAL,EQ,        14.15,                   221453.80,15761
,ASALCBR,EQ,       189.55,                 14852111.80,77087
,ASHAPURMIN,EQ,        26.00,                   877193.40,33653
,ASHIANA,EQ,        43.05,                  5646888.80,132158
,ASHIMASYN,BE,         4.35,                    91257.10,21708
,ASHOKA,EQ,        59.90,                 45718064.25,765753
,ASIANHOTNR,EQ,        59.15,                 20474504.95,341254
,ASIANTILES,EQ,       140.60,                 11004251.65,78329
,ASPINWALL,EQ,       105.95,                    49559.65,462
,ASTEC,EQ,       570.20,                 41390776.60,72172
,ASTERDM,EQ,        95.20,                 58536771.55,611552
,ASTRAL,EQ,       894.25,                101172681.30,114517
,ASTRAMICRO,EQ,        62.00,                  3897833.75,62345
,ASTRAZEN,EQ,      3050.70,                 46894072.25,15345
,ASTRON,EQ,        28.75,                   356577.55,12520
,ATFL,EQ,       519.20,                 33844066.70,63511
,ATLANTA,EQ,         6.90,                   259854.00,37660
,ATLASCYCLE,BE,        37.70,                   333790.15,8968
,ATUL,EQ,      4699.15,                231979164.15,49520
,ATULAUTO,EQ,       161.45,                 12323193.35,76601
,AUBANK,EQ,       399.15,                194902550.10,488294
,AURIONPRO,EQ,        43.30,                   579564.35,13746
,AUSOMENT,EQ,        25.65,                     2752.50,104
,AUTOAXLES,EQ,       470.05,                  3325283.20,7019
,AUTOIND,BE,        15.45,                   175591.65,11471
,AUTOLITIND,EQ,        16.05,                    85302.25,5336
,AVADHSUGAR,EQ,       132.45,                  2008618.90,15292
,AVANTIFEED,EQ,       401.30,                178078301.50,445649
,AVTNPL,EQ,        34.00,                  7194716.35,215486
,AXISCADES,EQ,        31.25,                   463182.95,14814
,AXISGOLD,EQ,      4085.60,                  2955006.05,725
,AXISNIFTY,EQ,      1132.00,                    86032.00,76
,AYMSYNTEX,EQ,        14.70,                   597845.20,40428
,BAGFILMS,BE,         1.60,                    73407.45,46155
,BAJAJCON,EQ,       134.90,                 40540818.40,298560
,BAJAJELEC,EQ,       380.20,                122009851.75,324475
,BAJAJHIND,EQ,         4.25,                  9084131.60,2209693
,BALAJITELE,EQ,        61.05,                 15009853.55,235111
,BALAMINES,EQ,       393.95,                 33302972.65,85243
,BALAXI,BE,        75.10,                   118632.60,1583
,BALKRISHNA,EQ,        11.85,                    81298.60,6812
,BALKRISIND,EQ,       938.70,                412223922.90,439083
,BALLARPUR,EQ,          .50,                   551594.45,1163014
,BALMLAWRIE,EQ,       101.65,                 68809206.25,687142
,BALPHARMA,BE,        36.45,                   507249.90,14063
,BALRAMCHIN,EQ,        93.75,                 81933461.15,873731
,BANARBEADS,EQ,        33.30,                     6977.35,218
,BANARISUG,EQ,       845.20,                   232089.10,271
