,15-Jun-2020
The Nifty witnessed an intraday movement of about 217 points.The closing index was 1.6 % down as compared to the previous closing index.

, Traded Value (Rs. In Crores), 54201.79
, Traded Quantity (in Lakhs), 32872.95
, Number of Trades, 17404621
, Total Market Capitalisation (Rs. Crores), 13046985.6

,INDEX,PREVIOUS CLOSE,OPEN,HIGH,LOW,CLOSE,GAIN/LOSS
,Nifty 50,      9972.90,      9919.35,      9943.35,      9726.35,      9813.70,-159.2
,NIFTY50 EQL Wgt,     10446.60,     10425.40,     10430.90,     10226.80,     10292.85,-153.75
,NIFTY100 EQL Wgt,     11515.05,     11523.50,     11554.10,     11321.20,     11389.50,-125.55
,NIFTY100 LowVol30,      8129.25,      8119.90,      8136.15,      8005.25,      8043.80,-85.45
,NIFTY Alpha 50,     12882.65,     12953.75,     13011.00,     12807.95,     12852.65,-30
,NIFTY MIDCAP 150,      5426.05,      5434.35,      5466.55,      5360.00,      5369.45,-56.6
,NIFTY SMLCAP 50,      2055.60,      2067.20,      2090.60,      2058.25,      2071.80,16.2
,NIFTY SMLCAP 250,      3871.30,      3899.70,      3922.20,      3863.85,      3884.65,13.35
,NIFTY MIDSML 400,      4866.00,      4881.65,      4910.25,      4824.20,      4834.95,-31.05
,NIFTY200 QUALTY30,      9019.55,      9025.05,      9050.85,      8879.55,      8907.20,-112.35
,Nifty IT,     14402.75,     14444.25,     14571.95,     14238.05,     14396.70,-6.05
,Nifty Next 50,     25018.75,     25053.30,     25203.35,     24698.50,     24793.30,-225.45
,Nifty Bank,     20654.55,     20457.15,     20470.85,     19740.20,     19912.90,-741.65
,NIFTY MIDCAP 100,     14339.35,     14352.20,     14452.05,     14143.25,     14168.55,-170.8
,Nifty 500,      8196.40,      8171.75,      8196.40,      8030.40,      8086.45,-109.95
,Nifty 100,     10158.30,     10113.40,     10141.15,      9924.10,     10005.80,-152.5
,Nifty Midcap 50,      4020.05,      4017.00,      4043.30,      3944.50,      3952.90,-67.15
,Nifty Realty,       204.65,       204.20,       205.25,       198.05,       198.50,-6.15
,Nifty Infra,      2954.20,      2934.80,      2954.80,      2895.05,      2925.95,-28.25
,Nifty Energy,     13855.75,     13755.65,     13907.75,     13589.60,     13815.45,-40.3
,Nifty FMCG,     29145.60,     29187.50,     29215.85,     28591.15,     28701.80,-443.8
,Nifty MNC,     12791.25,     12809.05,     12862.55,     12660.80,     12697.65,-93.6
,Nifty Pharma,      9982.80,     10020.75,     10171.80,      9894.70,      9989.05,6.25
,Nifty PSE,      2461.65,      2453.65,      2454.95,      2404.25,      2417.25,-44.4
,Nifty PSU Bank,      1352.05,      1348.85,      1377.95,      1317.15,      1371.50,19.45
,Nifty Serv Sector,     13189.40,     13122.45,     13133.60,     12809.10,     12891.70,-297.7
,India VIX,30.8225,30.8225,33.7775,29.9150,32.5775,1.7550
,Nifty Auto,      6559.40,      6530.75,      6573.20,      6417.75,      6443.00,-116.4
,Nifty Metal,      1966.10,      1966.30,      1967.00,      1915.95,      1928.55,-37.55
,Nifty Media,      1287.55,      1302.90,      1326.90,      1289.40,      1298.80,11.25
,NIFTY SMLCAP 100,      4393.50,      4416.95,      4452.40,      4380.20,      4409.60,16.1
,Nifty 200,      5186.50,      5166.55,      5181.65,      5072.75,      5110.35,-76.15
,Nifty Div Opps 50,      2193.05,      2191.90,      2193.35,      2149.25,      2158.30,-34.75
,Nifty Commodities,      2819.75,      2808.40,      2812.35,      2755.05,      2780.20,-39.55
,Nifty Consumption,      4674.35,      4665.25,      4683.95,      4596.35,      4605.25,-69.1
,Nifty Fin Service,     10111.75,     10033.05,     10044.45,      9735.75,      9817.90,-293.85
,Nifty50 Div Point,        12.23,        12.23,        12.23,        12.23,        12.23,0
,Nifty100 Liq 15,      2531.20,      2519.60,      2519.60,      2457.35,      2470.25,-60.95
,Nifty CPSE,      1428.40,      1426.65,      1427.90,      1399.55,      1407.70,-20.7
,Nifty GrowSect 15,      5023.45,      5003.00,      5006.60,      4868.00,      4900.85,-122.6
,Nifty50 PR 2x Lev,      3188.75,      3153.70,      3168.50,      3030.60,      3086.15,-102.6
,Nifty50 PR 1x Inv,       439.40,       441.90,       450.35,       440.85,       446.55,7.15
,Nifty50 TR 2x Lev,      4184.65,      4138.70,      4158.10,      3977.15,      4050.00,-134.65
,Nifty50 TR 1x Inv,       383.80,       386.00,       393.40,       385.10,       390.05,6.25
,Nifty50 Value 20,      4883.80,      4887.55,      4892.45,      4795.35,      4819.80,-64
,Nifty Mid Liq 15,      3376.80,      3372.80,      3401.30,      3312.50,      3321.00,-55.8
,Nifty Pvt Bank,     11383.50,     11278.35,     11287.85,     10860.65,     10946.30,-437.2
,NIFTY100 Qualty30,      2372.25,      2369.85,      2376.00,      2329.60,      2338.20,-34.05
,Nifty GS 8 13Yr,      2177.96,      2178.35,      2181.28,      2178.13,      2178.93,.97
,Nifty GS 10Yr,      1992.80,      1993.12,      1995.70,      1992.43,      1993.77,.97
,Nifty GS 10Yr Cln,       979.24,       979.24,       980.51,       978.90,       979.56,.32
,Nifty GS 4 8Yr,      2312.88,      2313.29,      2314.81,      2312.69,      2314.21,1.33
,Nifty GS 11 15Yr,      2348.78,      2349.20,      2350.76,      2346.63,      2347.69,-1.09
,Nifty GS 15YrPlus,      2568.88,      2569.35,      2569.60,      2568.48,      2569.60,.72
,Nifty GS Compsite,      2218.31,      2218.70,      2221.27,      2218.70,      2219.64,1.33

,ADVANCES,923
,DECLINES,973
,UNCHANGED,73

,Total securities that have hit their price bands today,456

,TOP 25 Securities Today :
,SYMBOL,SERIES,PREV. CLOSE,CLOSE PRICE,%VAR, VALUE(Rs Crs)
,RELIANCE,EQ,      1588.80,      1614.55,1.62,3905.27
,BAJFINANCE,EQ,      2450.15,      2351.40,-4.03,2860.25
,INDUSINDBK,EQ,       528.45,       490.55,-7.17,2249.72
,AXISBANK,EQ,       408.00,       389.60,-4.51,1549.48
,HDFCBANK,EQ,       982.75,       949.85,-3.35,1527.88
,ICICIBANK,EQ,       344.20,       331.10,-3.81,1440.09
,SBIN,EQ,       179.15,       173.70,-3.04,1107.28
,KOTAKBANK,EQ,      1279.80,      1248.90,-2.41,942.17
,M&M,EQ,       508.45,       508.15,-0.06,902.26
,EICHERMOT,EQ,     16857.30,     16481.95,-2.23,899.13
,HDFC,EQ,      1792.20,      1751.65,-2.26,890.54
,IDEA,EQ,        10.15,        10.15,0,874.94
,MARUTI,EQ,      5561.75,      5475.75,-1.55,839.54
,ZEEL,EQ,       168.55,       165.50,-1.81,787.27
,SRTRANSFIN,EQ,       684.40,       672.80,-1.69,774.99
,RBLBANK,EQ,       168.60,       161.35,-4.3,768.84
,BHARTIARTL,EQ,       560.10,       550.70,-1.68,753.55
,TATAMOTORS,EQ,       105.30,       100.50,-4.56,705.72
,RELIANCEPP,E1,       646.05,       700.10,8.37,599.94
,HINDUNILVR,EQ,      2107.25,      2084.30,-1.09,592.36
,LUPIN,EQ,       911.90,       943.95,3.51,581.66
,TATASTEEL,EQ,       317.60,       306.20,-3.59,570.13
,DRREDDY,EQ,      4007.95,      4012.30,0.11,563.06
,INFY,EQ,       692.05,       687.55,-0.65,544.16
,BAJAJFINSV,EQ,      5285.95,      5103.60,-3.45,526.61

,Top Five Nifty 50 Gainers:
,SYMBOL,SERIES,CLOSE PRICE,PREV.CLOSE,%CHANGE
,GAIL,EQ,        99.65,        96.35,3.43
,WIPRO,EQ,       213.80,       207.90,2.84
,RELIANCE,EQ,      1614.55,      1588.80,1.62
,HCLTECH,EQ,       578.95,       570.75,1.44
,SUNPHARMA,EQ,       485.80,       480.10,1.19

,Top Five Nifty 50 Losers:
,SYMBOL,SERIES,CLOSE PRICE,PREV.CLOSE,%CHANGE
,INDUSINDBK,EQ,       490.55,       528.45,-7.17
,TATAMOTORS,EQ,       100.50,       105.30,-4.56
,AXISBANK,EQ,       389.60,       408.00,-4.51
,BAJFINANCE,EQ,      2351.40,      2450.15,-4.03
,NTPC,EQ,        93.20,        96.90,-3.82

,Securities Price Volume Data in Normal market
,SYMBOL,SERIES,CLOSE PRICE,TRADED VALUE ,TRADED QUANTITY
,20MICRONS,EQ,        30.15,                  3414235.20,115420
,21STCENMGM,EQ,        10.50,                    46604.10,4420
,3IINFOTECH,EQ,         2.35,                 17345200.30,7829425
,3MINDIA,EQ,     17199.55,                 96660451.30,5573
,3PLAND,EQ,         5.60,                       56.00,10
,509GS2022,GS,        99.00,                      198.00,2
,5PAISA,EQ,       165.15,                  4297925.10,25682
,63MOONS,EQ,        89.05,                  9442835.10,107240
,706GS2046,GS,        99.00,                     4950.00,50
,732GS2024,GS,       102.00,                    10200.00,100
,795GS2032,GS,       117.75,                      117.75,1
,A2ZINFRA,EQ,         4.50,                   836024.80,187662
,AARTIDRUGS,EQ,       974.55,                124391112.25,126035
,AARTIIND,EQ,       869.45,               4397499323.80,5093872
,AARVEEDEN,EQ,        11.05,                   121427.55,10802
,AAVAS,EQ,      1277.70,                 43116418.80,33599
,ABAN,EQ,        23.20,                  1600242.70,68759
,ABB,EQ,       806.10,                 54094478.50,66773
,ABBOTINDIA,EQ,     16093.10,                212476302.90,13199
,ABCAPITAL,EQ,        54.75,                141463302.55,2589775
